UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
101736,"R",440,"R",2189,"R",20,"R",408,"R",0,"R",0,"R",408,"R",261,"R",64,"R",183,"R",0,"R",0,"R",183,"R",82,"R",45,"R",16
101879,"R",1106,"R",3297,"R",34,"R",985,"R",0,"R",0,"R",985,"R",752,"R",76,"R",28,"R",0,"R",0,"R",28,"R",8,"R",29,"R",18
101897,"R",430,"R",1127,"R",38,"R",352,"R",0,"R",0,"R",352,"R",256,"R",73,"R",98,"R",0,"R",0,"R",98,"R",57,"R",58,"R",17
101912,"R",374,"R",454,"R",82,"R",279,"R",0,"R",0,"R",279,"R",215,"R",77,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",11
101994,"R",75,"R",231,"R",32,"R",73,"R",0,"R",0,"R",73,"R",53,"R",73,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",14
102030,"R",410,"R",1462,"R",28,"R",342,"R",0,"R",0,"R",342,"R",209,"R",61,"R",132,"R",0,"R",0,"R",132,"R",44,"R",33,"R",18
102049,"R",972,"R",1065,"R",91,"R",918,"R",0,"R",0,"R",918,"R",835,"R",91,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",14
102058,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",4
102067,"R",735,"R",1911,"R",38,"R",663,"R",0,"R",0,"R",663,"R",413,"R",62,"R",232,"R",0,"R",0,"R",232,"R",79,"R",34,"R",17
102076,"R",502,"R",1508,"R",33,"R",488,"R",0,"R",0,"R",488,"R",310,"R",64,"R",70,"R",0,"R",0,"R",70,"R",21,"R",30,"R",21
102094,"R",1599,"R",2529,"R",63,"R",1749,"R",0,"R",0,"R",1749,"R",1203,"R",69,"R",24,"R",0,"R",0,"R",24,"R",7,"R",29,"R",16
102234,"R",225,"R",282,"R",80,"R",215,"R",0,"R",0,"R",215,"R",174,"R",81,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",12
102270,"R",123,"R",220,"R",56,"R",109,"R",0,"R",0,"R",109,"R",69,"R",63,"R",4,"R",0,"R",0,"R",4,"R",4,"R",100,"R",15
102298,"R",113,"R",172,"R",66,"R",216,"R",0,"R",0,"R",216,"R",164,"R",76,"R",9,"R",0,"R",0,"R",9,"R",9,"R",100,"R",22
102313,"R",264,"R",868,"R",30,"R",259,"Z",0,"Z",0,"R",259,"R",149,"R",58,"R",130,"Z",0,"Z",0,"R",130,"R",46,"R",35,"R",17
102368,"R",1413,"R",3040,"R",46,"R",1328,"R",0,"R",0,"R",1328,"R",993,"R",75,"R",200,"R",0,"R",0,"R",200,"R",58,"R",29,"R",16
102377,"R",533,"R",602,"R",89,"R",545,"R",0,"R",0,"R",545,"R",412,"R",76,"R",6,"Z",0,"Z",0,"R",6,"R",4,"R",67,"R",7
102395,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",11
102429,"R",505,"R",1775,"R",28,"R",450,"R",0,"R",0,"R",450,"R",297,"R",66,"R",204,"R",0,"R",0,"R",204,"R",133,"R",65,"R",13
102553,"R",705,"R",1772,"R",40,"R",489,"Z",0,"Z",0,"R",489,"R",324,"R",66,"R",152,"Z",0,"Z",0,"R",152,"R",71,"R",47,"R",11
102580,"R",3,"R",13,"R",23,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",3
102614,"R",561,"R",1456,"R",39,"R",396,"Z",0,"Z",0,"R",396,"R",276,"R",70,"R",46,"Z",0,"Z",0,"R",46,"R",20,"R",43,"R",11
102632,"R",111,"R",380,"R",29,"R",69,"Z",0,"Z",0,"R",69,"R",45,"R",65,"R",12,"Z",0,"Z",0,"R",12,"R",3,"R",25,"R",9
102669,"R",24,"R",321,"R",7,"R",17,"R",0,"R",0,"R",17,"R",14,"R",82,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",8
102711,"A",,"A",,"A",,"R",65,"R",0,"R",0,"R",65,"R",55,"R",85,"R",152,"R",0,"R",0,"R",152,"R",118,"R",78,"R",12
102845,"A",,"A",,"A",,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
103501,"A",,"A",,"A",,"R",211,"R",0,"R",0,"R",211,"R",153,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
103741,"A",,"A",,"A",,"R",52,"R",0,"Z",0,"R",52,"R",44,"R",85,"R",9,"R",0,"Z",0,"R",9,"R",4,"R",44,"R",20
103893,"A",,"A",,"A",,"R",272,"R",0,"R",0,"R",272,"R",181,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",27
103909,"A",,"A",,"A",,"R",72,"R",0,"R",0,"R",72,"R",44,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
103927,"A",,"A",,"A",,"R",123,"R",0,"R",0,"R",123,"R",92,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
103954,"A",,"A",,"A",,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
103963,"A",,"A",,"A",,"R",93,"R",1,"R",0,"R",92,"R",55,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"R",22
104090,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",24
104151,"R",14980,"R",19762,"R",76,"R",14097,"R",166,"R",0,"R",13931,"R",11892,"R",85,"R",153,"R",5,"R",0,"R",148,"R",74,"R",50,"R",19
104160,"R",579,"R",2499,"R",23,"R",515,"R",0,"R",0,"R",515,"R",327,"R",63,"R",1617,"R",0,"R",0,"R",1617,"R",674,"R",42,"R",20
104179,"R",6154,"R",12552,"R",49,"R",6012,"R",11,"R",0,"R",6001,"R",5139,"R",86,"R",2471,"R",0,"R",0,"R",2471,"R",1645,"R",67,"R",17
104346,"R",367,"R",2659,"R",14,"R",395,"R",0,"R",0,"R",395,"R",225,"R",57,"R",1256,"R",0,"R",0,"R",1256,"R",434,"R",35,"R",15
104391,"A",,"A",,"A",,"R",44,"R",0,"R",0,"R",44,"R",37,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
104425,"R",511,"R",1021,"R",50,"R",528,"R",0,"R",0,"R",528,"R",368,"R",70,"R",187,"R",0,"R",0,"R",187,"R",91,"R",49,"R",15
104443,"A",,"A",,"A",,"R",11,"R",0,"Z",0,"R",11,"R",9,"R",82,"R",4,"R",0,"Z",0,"R",4,"R",2,"R",50,"R",16
104568,"A",,"A",,"A",,"R",154,"R",0,"R",0,"R",154,"R",149,"R",97,"R",110,"R",0,"R",0,"R",110,"R",97,"R",88,"R",21
104577,"R",510,"R",1010,"R",50,"R",488,"R",0,"R",0,"R",488,"R",248,"R",51,"R",248,"R",0,"R",0,"R",248,"R",81,"R",33,"R",19
104586,"R",756,"R",862,"R",88,"R",744,"R",0,"R",0,"R",744,"R",582,"R",78,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",18
104708,"R",1200,"R",5792,"R",21,"R",857,"R",0,"Z",0,"R",857,"R",572,"R",67,"R",722,"R",0,"Z",0,"R",722,"R",294,"R",41,"R",15
104717,"R",7401,"R",21161,"R",35,"R",6722,"R",0,"Z",0,"R",6722,"R",4719,"R",70,"R",875,"R",2,"Z",0,"R",873,"R",335,"R",38,"R",20
105145,"R",224,"R",2226,"R",10,"R",187,"R",0,"Z",0,"R",187,"R",102,"R",55,"R",212,"R",0,"Z",0,"R",212,"R",96,"R",45,"R",12
105154,"R",1228,"R",7235,"R",17,"R",823,"R",0,"Z",0,"R",823,"R",523,"R",64,"R",675,"R",0,"Z",0,"R",675,"R",275,"R",41,"R",15
105206,"R",108,"R",673,"R",16,"R",110,"R",0,"R",0,"R",110,"R",55,"R",50,"R",277,"R",0,"R",0,"R",277,"R",98,"R",35,"R",13
105215,"A",,"A",,"A",,"R",337,"R",2,"R",0,"R",335,"R",188,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"R",30
105297,"R",123,"R",258,"R",48,"R",5,"R",0,"R",0,"R",5,"R",5,"R",100,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",15
105330,"R",5434,"R",7388,"R",74,"R",4749,"R",2,"R",0,"R",4747,"R",3605,"R",76,"R",546,"R",0,"R",0,"R",546,"R",231,"R",42,"R",20
105349,"R",43,"R",1260,"R",3,"R",25,"R",0,"R",0,"R",25,"R",10,"R",40,"R",61,"R",0,"R",0,"R",61,"R",17,"R",28,"R",11
