UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
194578,"R",623,"R",54949841,"R",3,"R",404961,"Z",0,"Z",0,"R",81,"R",6107250,"R",129,"R",20106940,"R",65,"R",5399502,"R",44,"R",3834054,"R",63,"R",4878311,"R",4,"R",369125,"R",100,"R",5605446,"Z",0,"Z",0,"R",79,"R",4620968,"R",27,"R",1917548,"R",28,"R",1705736
194657,"R",1,"R",75000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",75000,"Z",0,"Z",0,"Z",0,"Z",0
194666,"R",5,"R",198958,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",36000,"R",2,"R",117958,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",21000,"Z",0,"Z",0,"R",1,"R",24000,"Z",0,"Z",0,"Z",0,"Z",0
194693,"R",6,"R",328705,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",49000,"R",2,"R",172350,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",69025,"Z",0,"Z",0,"R",1,"R",38330,"Z",0,"Z",0,"Z",0,"Z",0
194718,"R",2,"R",103200,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",103200,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
194736,"R",12,"R",819166,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",115827,"R",1,"R",96223,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",522356,"Z",0,"Z",0,"R",2,"R",84760,"Z",0,"Z",0,"Z",0,"Z",0
194763,"R",36,"R",1058892,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",153984,"R",3,"R",122586,"R",6,"R",153984,"Z",0,"Z",0,"R",2,"R",17550,"Z",0,"Z",0,"R",14,"R",537532,"Z",0,"Z",0,"R",2,"R",27496,"R",1,"R",45760,"Z",0,"Z",0
194824,"R",1062,"R",72847161,"R",109,"R",6867015,"Z",0,"Z",0,"R",119,"R",6653561,"R",139,"R",17172110,"R",121,"R",9645369,"R",111,"R",8208806,"R",79,"R",4787863,"R",24,"R",1861938,"R",154,"R",6691104,"R",1,"R",60610,"R",121,"R",5984028,"R",78,"R",4683960,"R",6,"R",230797
194958,"R",170,"R",8312220,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",163070,"R",29,"R",2170160,"R",11,"R",585433,"R",13,"R",647361,"R",24,"R",1141493,"R",2,"R",94480,"R",20,"R",736405,"R",10,"R",512790,"R",48,"R",1926774,"R",6,"R",282774,"R",1,"R",51480
195003,"R",2416,"R",167153898,"R",15,"R",1702537,"Z",0,"Z",0,"R",57,"R",3378673,"R",427,"R",50298043,"R",360,"R",25951087,"R",389,"R",29150268,"R",372,"R",21169166,"R",28,"R",2174648,"R",252,"R",10104174,"R",9,"R",373261,"R",426,"R",19100693,"R",59,"R",2869818,"R",22,"R",881530
195030,"R",3566,"R",273923843,"R",264,"R",29139916,"Z",0,"Z",0,"R",325,"R",21228045,"R",430,"R",66590879,"R",308,"R",21684213,"R",734,"R",52642123,"R",157,"R",9304291,"R",43,"R",3263151,"R",306,"R",15269126,"Z",0,"Z",0,"R",668,"R",37433202,"R",140,"R",5887630,"R",191,"R",11481267
195049,"R",1225,"R",112030335,"R",337,"R",26654835,"Z",0,"Z",0,"R",40,"R",2441800,"R",165,"R",32564900,"R",58,"R",5609400,"R",283,"R",21420500,"R",25,"R",2084400,"R",24,"R",2662400,"R",148,"R",8230300,"Z",0,"Z",0,"R",90,"R",5740500,"R",55,"R",4621300,"Z",0,"Z",0
195058,"R",249,"R",18027046,"Z",0,"Z",0,"Z",0,"Z",0,"R",40,"R",2741064,"R",67,"R",6827081,"R",9,"R",598606,"R",2,"R",114000,"R",9,"R",672092,"Z",0,"Z",0,"R",41,"R",2215473,"Z",0,"Z",0,"R",69,"R",4036697,"R",12,"R",822033,"Z",0,"Z",0
195128,"R",214,"R",11603761,"Z",0,"Z",0,"Z",0,"Z",0,"R",35,"R",1750340,"R",51,"R",4393411,"R",10,"R",538718,"R",14,"R",716184,"R",18,"R",914977,"R",6,"R",290992,"R",31,"R",1138814,"Z",0,"Z",0,"R",40,"R",1419909,"R",8,"R",403104,"R",1,"R",37312
195155,"R",4,"R",291849,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",124431,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",167418,"Z",0,"Z",0,"Z",0,"Z",0
195164,"R",326,"R",18672573,"R",1,"R",45000,"Z",0,"Z",0,"R",26,"R",1404475,"R",35,"R",4343596,"R",33,"R",2004413,"R",16,"R",933283,"R",73,"R",4712007,"R",13,"R",679631,"R",69,"R",2319703,"R",1,"R",40000,"R",44,"R",1628214,"R",13,"R",480923,"R",2,"R",81328
195173,"R",201,"R",16682049,"R",2,"R",164998,"Z",0,"Z",0,"R",52,"R",3207627,"R",43,"R",6351636,"R",23,"R",1941243,"R",16,"R",1064219,"R",44,"R",2770192,"R",1,"R",68216,"R",3,"R",154775,"Z",0,"Z",0,"R",17,"R",959143,"Z",0,"Z",0,"Z",0,"Z",0
195191,"R",10,"R",909871,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",138060,"R",3,"R",487240,"Z",0,"Z",0,"R",2,"R",121281,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",163290,"Z",0,"Z",0,"Z",0,"Z",0
195216,"R",516,"R",30512785,"Z",0,"Z",0,"Z",0,"Z",0,"R",116,"R",7069517,"R",54,"R",6514350,"R",39,"R",2959378,"R",29,"R",1960827,"R",24,"R",1487374,"R",6,"R",301880,"R",150,"R",5763676,"R",6,"R",246080,"R",75,"R",3312536,"R",11,"R",582442,"R",6,"R",314725
195234,"R",280,"R",15089270,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",1262237,"R",42,"R",4350681,"R",25,"R",1516750,"R",18,"R",966136,"R",44,"R",2250903,"R",13,"R",657996,"R",77,"R",2567860,"Z",0,"Z",0,"R",22,"R",787448,"R",14,"R",691237,"R",1,"R",38022
195243,"R",116,"R",9225891,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",106740,"R",66,"R",6625190,"R",5,"R",292745,"R",4,"R",282736,"R",6,"R",448756,"R",3,"R",219707,"R",9,"R",368368,"Z",0,"Z",0,"R",16,"R",648175,"R",4,"R",233474,"Z",0,"Z",0
