UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
101648,57, 57,"R",3,"R",3
101648,58,999,"R",194,"R",171
101648,60, 60,"R",1,"R",1
101648,89,999,"R",1,"R",1
101648,99, 99,"R",195,"R",172
101675, 1,  1,"R",173,"R",151
101675, 4,  4,"R",1,"R",1
101675, 6,  6,"R",10,"R",10
101675, 8,  8,"R",3,"R",3
101675,11, 11,"R",1,"R",1
101675,12, 12,"R",11,"R",10
101675,13, 13,"R",49,"R",47
101675,17, 17,"R",3,"R",3
101675,22, 22,"R",17,"R",17
101675,24, 24,"R",1,"R",1
101675,26, 26,"R",3,"R",3
101675,28, 28,"R",2,"R",2
101675,32, 32,"R",2,"R",2
101675,34, 34,"R",1,"R",1
101675,37, 37,"R",3,"R",3
101675,39, 39,"R",3,"R",3
101675,42, 42,"R",1,"R",1
101675,45, 45,"R",1,"R",1
101675,47, 47,"R",5,"R",5
101675,48, 48,"R",2,"R",2
101675,55, 55,"R",4,"R",4
101675,58,999,"R",296,"R",271
101675,99, 99,"R",296,"R",271
101693, 1,  1,"R",192,"R",191
101693,12, 12,"R",16,"R",16
101693,13, 13,"R",8,"R",8
101693,22, 22,"R",14,"R",14
101693,26, 26,"R",1,"R",1
101693,28, 28,"R",4,"R",4
101693,29, 29,"R",2,"R",2
101693,32, 32,"R",2,"R",2
101693,36, 36,"R",2,"R",2
101693,47, 47,"R",1,"R",1
101693,48, 48,"R",3,"R",3
101693,49, 49,"R",1,"R",1
101693,58,999,"R",246,"R",245
101693,90, 90,"R",26,"R",26
101693,99, 99,"R",272,"R",271
101709, 1,  1,"R",436,"R",328
101709, 4,  4,"R",2,"R",1
101709, 6,  6,"R",9,"R",8
101709,10, 10,"R",1,"R",1
101709,12, 12,"R",14,"R",13
101709,13, 13,"R",25,"R",25
101709,17, 17,"R",1,"R",1
101709,21, 21,"R",3,"R",3
101709,22, 22,"R",2,"R",2
101709,26, 26,"R",1,"R",1
101709,27, 27,"R",2,"R",2
101709,28, 28,"R",7,"R",6
101709,36, 36,"R",1,"R",1
101709,37, 37,"R",1,"R",1
101709,40, 40,"R",1,"R",1
101709,42, 42,"R",2,"R",2
101709,45, 45,"R",3,"R",3
101709,47, 47,"R",8,"R",7
101709,48, 48,"R",2,"R",2
101709,49, 49,"R",1,"R",1
101709,51, 51,"R",1,"R",1
101709,58,999,"R",523,"R",410
101709,90, 90,"R",21,"R",15
101709,99, 99,"R",544,"R",425
101736, 1,  1,"R",631,"R",489
101736,15, 15,"R",1,"R",1
101736,47, 47,"R",9,"R",8
101736,58,999,"R",641,"R",498
101736,98, 98,"R",8,"A",
101736,99, 99,"R",649,"R",498
101879, 1,  1,"R",885,"R",885
101879, 5,  5,"R",1,"R",1
101879, 6,  6,"R",1,"R",1
101879, 8,  8,"R",2,"R",2
101879,12, 12,"R",5,"R",5
101879,13, 13,"R",7,"R",7
101879,17, 17,"R",3,"R",3
101879,18, 18,"R",1,"R",1
101879,19, 19,"R",1,"R",1
101879,20, 20,"R",2,"R",2
101879,21, 21,"R",3,"R",3
101879,27, 27,"R",1,"R",1
101879,28, 28,"R",23,"R",23
101879,29, 29,"R",1,"R",1
101879,31, 31,"R",1,"R",1
101879,37, 37,"R",3,"R",3
101879,39, 39,"R",2,"R",2
101879,42, 42,"R",2,"R",2
